Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
1,17,92,21,0.7391,0.02139,2
8,2,7,92,0.087,0.013834,2
2,1,5,92,0.0435,0.019763,2
88,2,2,92,0.087,0.003953,2
12,1,2,92,0.0435,0.007905,2
3,2,2,7,0.087,0.003953,2
85,2,2,2,0.087,0.003953,2
89,2,2,1,0.087,0.003953,2
86,1,1,92,0.0435,0.003953,2
55,1,1,92,0.0435,0.003953,2
47,1,1,92,0.0435,0.003953,2
98,1,1,92,0.0435,0.003953,2
7,1,1,2,0.0435,0.003953,2
6,1,1,0,0.0435,0.003953,2
83,0,0,0,0.0,0.0,2
5,0,0,0,0.0,0.0,2
90,0,0,0,0.0,0.0,2
64,0,0,0,0.0,0.0,2
10,0,0,0,0.0,0.0,2
56,0,0,0,0.0,0.0,2
97,0,0,0,0.0,0.0,2
76,0,0,0,0.0,0.0,2
9,0,0,0,0.0,0.0,2
11,0,0,0,0.0,0.0,2
